,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
9,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.,27,2023-04-23,FICTION,Paperback Trade Fiction
10,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,8,2023-04-23,FICTION,Paperback Trade Fiction
11,THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,The second book in the Knockemout series. A woman with some secrets and the chief of police have different ideas about where things are headed.,7,2023-04-23,FICTION,Paperback Trade Fiction
12,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,86,2023-04-23,FICTION,Paperback Trade Fiction
13,THE FOUR WINDS,Kristin Hannah,St. Martin's Griffin,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading west.",4,2023-04-23,FICTION,Paperback Trade Fiction
14,ONE TRUE LOVES,Taylor Jenkins Reid,Washington Square,"Suffering from a loss, Emma gets engaged to an old friend, only to have her missing husband return; the basis of the movie.",1,2023-04-23,FICTION,Paperback Trade Fiction
0,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,2,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
1,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",137,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
2,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",55,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
3,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,35,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
4,SPARE,Prince Harry,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",13,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
5,CHOOSING TO RUN,Des Linden with Bonnie D. Ford,Dutton,The Boston Marathon winner and Olympian shares her racing highlights and training methods.,1,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
6,"POVERTY, BY AMERICA",Matthew Desmond,Crown,The Pulitzer Prize-winning author of “Evicted” examines the ways in which affluent Americans keep poor people poor.,3,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
7,GOT YOUR NUMBER,Mike Greenberg with Paul Hembekides,Hyperion Avenue,The ESPN host partners with his producer to create their list of top 100 sports legends.,1,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
8,A FEVER IN THE HEARTLAND,Timothy Egan,Viking,The Pulitzer and National Book Award-winning author details the Ku Klux Klan's rise to the height of its power in the 1920s and how one brutalized woman’s testimony diminished it.,1,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
9,WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",A collection of stories about police officers.,7,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
10,FOLLOW ME TO HELL,Tom Clavin,St. Martin's,A portrayal of a ranger named Leander McNelly and his men in 1870s Texas.,1,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
11,ALL ABOUT LOVE,bell hooks,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,44,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
12,THE LIGHT WE CARRY,Michelle Obama,Crown,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,21,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
13,SAVED,Benjamin Hall,Harper,The Fox News journalist gives his account of the injuries he sustained from a Russian attack while covering the war in Ukraine.,4,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
14,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,74,2023-04-23,NONFICTION,Combined Print & E-Book Nonfiction
0,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,2,2023-04-23,NONFICTION,Hardcover Nonfiction
1,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,35,2023-04-23,NONFICTION,Hardcover Nonfiction
2,SPARE,Prince Harry,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",13,2023-04-23,NONFICTION,Hardcover Nonfiction
3,CHOOSING TO RUN,Des Linden with Bonnie D. Ford,Dutton,The Boston Marathon winner and Olympian shares her racing highlights and training methods.,1,2023-04-23,NONFICTION,Hardcover Nonfiction
4,"POVERTY, BY AMERICA",Matthew Desmond,Crown,The Pulitzer Prize-winning author of “Evicted” examines the ways in which affluent Americans keep poor people poor.,3,2023-04-23,NONFICTION,Hardcover Nonfiction
5,GOT YOUR NUMBER,Mike Greenberg with Paul Hembekides,Hyperion Avenue,The ESPN host partners with his producer to create their list of top 100 sports legends.,1,2023-04-23,NONFICTION,Hardcover Nonfiction
6,THE LIGHT WE CARRY,Michelle Obama,Crown,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,21,2023-04-23,NONFICTION,Hardcover Nonfiction
7,WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",A collection of stories about police officers.,7,2023-04-23,NONFICTION,Hardcover Nonfiction
8,SAVED,Benjamin Hall,Harper,The Fox News journalist gives his account of the injuries he sustained from a Russian attack while covering the war in Ukraine.,4,2023-04-23,NONFICTION,Hardcover Nonfiction
9,A FEVER IN THE HEARTLAND,Timothy Egan,Viking,The Pulitzer and National Book Award-winning author details the Ku Klux Klan's rise to the height of its power in the 1920s and how one brutalized woman’s testimony diminished it.,1,2023-04-23,NONFICTION,Hardcover Nonfiction
10,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,The Florida governor gives his account of his achievements and shares his opinions about the political left.,6,2023-04-23,NONFICTION,Hardcover Nonfiction
11,FOLLOW ME TO HELL,Tom Clavin,St. Martin's,A portrayal of a ranger named Leander McNelly and his men in 1870s Texas.,1,2023-04-23,NONFICTION,Hardcover Nonfiction
12,GREENLIGHTS,Matthew McConaughey,Crown,The Academy Award-winning actor shares snippets from the diaries he kept over 35 years.,88,2023-04-23,NONFICTION,Hardcover Nonfiction
13,IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,The Vermont senator depicts the impact capitalism has on key areas of our lives and ways to address this.,7,2023-04-23,NONFICTION,Hardcover Nonfiction
14,PARIS,Paris Hilton,Dey Street,The entrepreneur and pop culture icon shares her personal and professional rise in the age of influencers.,4,2023-04-23,NONFICTION,Hardcover Nonfiction
0,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",2,2023-04-23,NONFICTION,Paperback Nonfiction
1,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",233,2023-04-23,NONFICTION,Paperback Nonfiction
2,ALL ABOUT LOVE,bell hooks,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,70,2023-04-23,NONFICTION,Paperback Nonfiction
3,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,156,2023-04-23,NONFICTION,Paperback Nonfiction
4,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,357,2023-04-23,NONFICTION,Paperback Nonfiction
5,THE GLASS CASTLE,Jeannette Walls,Scribner,The author recalls how she and her siblings were constantly moved from one bleak place to another.,463,2023-04-23,NONFICTION,Paperback Nonfiction
6,FINDING ME,Viola Davis,HarperOne,The multiple-award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.,1,2023-04-23,NONFICTION,Paperback Nonfiction
7,THE DAWN OF EVERYTHING,David Graeber and David Wengrow,Picador,A reinvestigation of social evolution and suggestions for new ways of organizing society.,1,2023-04-23,NONFICTION,Paperback Nonfiction
8,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,80,2023-04-23,NONFICTION,Paperback Nonfiction
9,THE ANTHROPOCENE REVIEWED,John Green,Dutton,A collection of personal essays that review different facets of the human-centered planet.,3,2023-04-23,NONFICTION,Paperback Nonfiction
10,CASTE,Isabel Wilkerson,Random House,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,8,2023-04-23,NONFICTION,Paperback Nonfiction
11,GRIT,Angela Duckworth,Scribner,The MacArthur Fellow argues that passion and perseverance are more important than innate talent in creating success.,142,2023-04-23,NONFICTION,Paperback Nonfiction
12,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,The British journalist shares stories and observations; the basis of the TV series.,3,2023-04-23,NONFICTION,Paperback Nonfiction
13,KILLERS OF THE FLOWER MOON,David Grann,Vintage,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",110,2023-04-23,NONFICTION,Paperback Nonfiction
14,SHOE DOG,Phil Knight,Scribner,"A memoir by the co-founder of Nike, Inc.",44,2023-04-23,NONFICTION,Paperback Nonfiction
0,THE WISDOM OF THE BULLFROG,William H. McRaven,Grand Central,,1,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
1,ATOMIC HABITS,James Clear,Avery,,176,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
2,BUILT TO MOVE,Kelly Starrett and Juliet Starrett,Knopf,,1,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
3,THE LOVE STORIES OF THE BIBLE SPEAK,Shannon Bream,Broadside,,2,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
4,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,,175,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
5,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,,12,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
6,BE THE BUS,Mo Willems,Union Square & Co,,1,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
7,SWEET ENOUGH,Alison Roman,Clarkson Potter,,2,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
8,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,,293,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
9,MAKE YOUR BED,William H. McRaven,Grand Central,,117,2023-04-23,NONFICTION,"Advice, How-To & Miscellaneous"
0,NIC BLAKE AND THE REMARKABLES,Angie Thomas,Balzer + Bray,Nic and two friends hunt for a powerful magic tool to save her father from imprisonment.,1,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
1,WONDER,R.J. Palacio,Knopf,A boy with a facial deformity starts school.,391,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
2,REFUGEE,Alan Gratz,Scholastic,Three children in three different conflicts look for safe haven.,215,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
3,ODDER,Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",29,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
4,TWO DEGREES,Alan Gratz,Scholastic,Four kids simultaneously experience three natural catastrophes due to climate change.,27,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
5,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,148,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
6,STAR WARS: THE HIGH REPUBLIC: QUEST FOR PLANET X,Tessa Gratton,Disney Lucasfilm,An adventurous trio set off to find the mysterious and legendary Planet X.,1,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
7,THE SISTER SWITCH,Sarah Mlynowski and Debbie Rigaud. Illustrated by Maxine Vee,Scholastic,"A magic bracelet grants the wish of a middle sister, Addie, to become the oldest sister.",1,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
8,ONCE THERE WAS,Kiyash Monsef,Simon & Schuster,"After the death of her father, who was a veterinarian to mythical creatures, Marjan must now take his place.",1,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
9,BIG TREE,Brian Selznick,Scholastic,Two sycamore seeds seek solace in the Cretaceous Period after being forced from their mother tree.,1,2023-04-23,CHILDREN,Children’s Middle Grade Hardcover
0,HOW TO CATCH THE EASTER BUNNY,Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,The Easter Bunny avoids traps in order to deliver eggs and candy.,24,2023-04-23,CHILDREN,Children’s Picture Books
1,PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean,HarperFestival,A certain rabbit needs Pete's help.,42,2023-04-23,CHILDREN,Children’s Picture Books
2,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,Jory John. Illustrated by Pete Oswald,HarperCollins,Good Egg and his pals escape their carton!,21,2023-04-23,CHILDREN,Children’s Picture Books
3,HAPPY EASTER FROM THE CRAYONS,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,The crayons decorate one giant egg together.,3,2023-04-23,CHILDREN,Children’s Picture Books
4,DRAGONS LOVE TACOS,Adam Rubin. Illustrated by Daniel Salmieri,Dial,What to serve your dragon-guests.,393,2023-04-23,CHILDREN,Children’s Picture Books
5,WOO HOO! YOU'RE DOING GREAT!,Sandra Boynton,"Little, Brown",A cheerleading chicken boosts readers' self-esteem.,1,2023-04-23,CHILDREN,Children’s Picture Books
6,I LOVE YOU MORE THAN YOU'LL EVER KNOW,Leslie Odom Jr. and Nicolette Robinson. Illustrated by Joy Hwang Ruiz,Feiwel & Friends,The loving bond between parents and their children.,1,2023-04-23,CHILDREN,Children’s Picture Books
7,LITTLE BLUE TRUCK MAKES A FRIEND,Alice Schertle and Jill McElmurry,Clarion,Blue and friends meet Chuck the woodchuck.,15,2023-04-23,CHILDREN,Children’s Picture Books
8,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,A celebration of future possibilities.,347,2023-04-23,CHILDREN,Children’s Picture Books
9,THE DAY THE CRAYONS QUIT,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,Problems arise when Duncan’s crayons revolt.,355,2023-04-23,CHILDREN,Children’s Picture Books
0,DIARY OF A WIMPY KID,tten and illustrated by Jeff Kinney,Amulet,The travails and challenges of adolescence.,734,2023-04-23,CHILDREN,Children’s Series
1,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,Pippa Fitz-Amobi solves murderous crimes.,80,2023-04-23,CHILDREN,Children’s Series
2,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,733,2023-04-23,CHILDREN,Children’s Series
3,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV.",270,2023-04-23,CHILDREN,Children’s Series
4,CAPTAIN UNDERPANTS,tten and illustrated by Dav Pilkey,Scholastic,Boys and their principal fight evil.,310,2023-04-23,CHILDREN,Children’s Series
5,SHADOW AND BONE TRILOGY,Leigh Bardugo,Square Fish,"The basis of the Netflix series; previously titled ""The Grisha Trilogy.""",40,2023-04-23,CHILDREN,Children’s Series
6,A TWISTED TALE,Liz Braswell,Disney-Hyperion,A twist on Disney's greatest tales.,22,2023-04-23,CHILDREN,Children’s Series
7,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,32,2023-04-23,CHILDREN,Children’s Series
8,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,668,2023-04-23,CHILDREN,Children’s Series
9,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,"A beach house, summer love and enduring friendships.",51,2023-04-23,CHILDREN,Children’s Series
0,SILVER IN THE BONE,Alexandra Bracken,Knopf,"Tamsin Lark is on a quest to retrieve a magic ring that may break a curse on her brother, Cabell.",1,2023-04-23,CHILDREN,Young Adult Hardcover
1,FIVE SURVIVE,Holly Jackson,Delacorte,Six friends on a spring break road trip in an R.V. are the target of a sniper.,19,2023-04-23,CHILDREN,Young Adult Hardcover
2,SPELL BOUND,F.T. Lukens,Margaret K. McElderry,Two rival apprentice sorcerers must work together against the Magical Consortium to rescue their mentors.,1,2023-04-23,CHILDREN,Young Adult Hardcover
3,NICK AND CHARLIE,Alice Oseman,Scholastic,Nick and Charlie question whether their love is strong enough to survive being apart when Nick leaves for university.,14,2023-04-23,CHILDREN,Young Adult Hardcover
4,DIVINE RIVALS,Rebecca Ross,Wednesday,Two young rival journalists find love through a magical connection.,1,2023-04-23,CHILDREN,Young Adult Hardcover
5,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,"In this prequel to ""They Both Die at the End,"" Orion and Valentino attend the premiere of Death-Cast in Times Square.",27,2023-04-23,CHILDREN,Young Adult Hardcover
6,LIGHTLARK,Alex Aster,Amulet,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place.,33,2023-04-23,CHILDREN,Young Adult Hardcover
7,THE STOLEN HEIR,Holly Black,"Little, Brown",Runaway Queen Suren and Prince Oak embark on a deadly and dangerous mission to the north.,14,2023-04-23,CHILDREN,Young Adult Hardcover
8,HOW TO BE A (YOUNG) ANTIRACIST,Ibram X. Kendi and Nic Stone,Kokila,Shaping the way a generation thinks about race and racism.,3,2023-04-23,CHILDREN,Young Adult Hardcover
9,SHE IS A HAUNTING,Trang Thanh Tran,Bloomsbury,"Jade Nguyen travels to Vietnam with her younger sister, Lily, to visit their father who’s restoring an old French colonial house which is haunted.",6,2023-04-23,CHILDREN,Young Adult Hardcover
0,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,13,2023-04-16,FICTION,Combined Print & E-Book Fiction
1,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",24,2023-04-16,FICTION,Combined Print & E-Book Fiction
2,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,21,2023-04-16,FICTION,Combined Print & E-Book Fiction
3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,94,2023-04-16,FICTION,Combined Print & E-Book Fiction
4,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,91,2023-04-16,FICTION,Combined Print & E-Book Fiction
5,HELLO BEAUTIFUL,Ann Napolitano,Dial,"In a homage to Louisa May Alcott’s “Little Women,” a young man’s dark past resurfaces as he gets to know the family of his college sweetheart.",3,2023-04-16,FICTION,Combined Print & E-Book Fiction
6,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,69,2023-04-16,FICTION,Combined Print & E-Book Fiction
7,HANG THE MOON,Jeannette Walls,Scribner,"Nine years after being cast out, a young woman returns to reclaim her place in her family and comes into her own as a bootlegger.",1,2023-04-16,FICTION,Combined Print & E-Book Fiction
8,LOYALTY,Lisa Scottoline,Putnam,"The lives of a lemon grower, a young lawyer, a new mother and a reclusive goatherd collide in Sicily during the rise of the Mafia.",1,2023-04-16,FICTION,Combined Print & E-Book Fiction
9,I WILL FIND YOU,Harlan Coben,Grand Central,A man imprisoned for murdering his 3-year-old son becomes convinced his son is still alive and plans an escape.,3,2023-04-16,FICTION,Combined Print & E-Book Fiction
10,NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,Questions arise when a pair of lovers try to uncover why they suddenly became strangers.,5,2023-04-16,FICTION,Combined Print & E-Book Fiction
11,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",63,2023-04-16,FICTION,Combined Print & E-Book Fiction
12,THE LAST THING HE TOLD ME,Laura Dave,Marysue Rucci,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,38,2023-04-16,FICTION,Combined Print & E-Book Fiction
13,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,16,2023-04-16,FICTION,Combined Print & E-Book Fiction
14,HEART BONES,Colleen Hoover,Atria,"After an unexpected death prevents her from going to Penn State and and forces her to move in with her absent father, Beyah Grim has a summer fling with the rich guy next door.",9,2023-04-16,FICTION,Combined Print & E-Book Fiction
0,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,47,2023-04-16,FICTION,Hardcover Fiction
1,HANG THE MOON,Jeannette Walls,Scribner,"Nine years after being cast out, a young woman returns to reclaim her place in her family and comes into her own as a bootlegger.",1,2023-04-16,FICTION,Hardcover Fiction
2,HELLO BEAUTIFUL,Ann Napolitano,Dial,"In a homage to Louisa May Alcott’s “Little Women,” a young man’s dark past resurfaces as he gets to know the family of his college sweetheart.",3,2023-04-16,FICTION,Hardcover Fiction
3,LOYALTY,Lisa Scottoline,Putnam,"The lives of a lemon grower, a young lawyer, a new mother and a reclusive goatherd collide in Sicily during the rise of the Mafia.",1,2023-04-16,FICTION,Hardcover Fiction
4,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,27,2023-04-16,FICTION,Hardcover Fiction
5,I WILL FIND YOU,Harlan Coben,Grand Central,A man imprisoned for murdering his 3-year-old son becomes convinced his son is still alive and plans an escape.,3,2023-04-16,FICTION,Hardcover Fiction
6,COUNTDOWN,James Patterson and Brendan DuBois,"Little, Brown",A botched field operation and a terrorist plot endanger Amy Cornwall and her family.,2,2023-04-16,FICTION,Hardcover Fiction
7,PINEAPPLE STREET,Jenny Jackson,Pamela Dorman,Three women navigate their roles in a well-to-do family living in Brooklyn Heights.,4,2023-04-16,FICTION,Hardcover Fiction
8,DEMON COPPERHEAD,Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,24,2023-04-16,FICTION,Hardcover Fiction
9,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,11,2023-04-16,FICTION,Hardcover Fiction
10,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.,8,2023-04-16,FICTION,Hardcover Fiction
11,STORM WATCH,C.J. Box,Putnam,The 23rd book in the Joe Pickett series. Joe and Nate might be on opposite sides for the first time.,5,2023-04-16,FICTION,Hardcover Fiction
12,ABOVE GROUND,Clint Smith,"Little, Brown",A collection of poems by the author of “How the Word Is Passed.”,1,2023-04-16,FICTION,Hardcover Fiction
13,I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai,Viking,A film professor and podcaster is invited back to teach a course at the boarding school where her roommate was murdered.,6,2023-04-16,FICTION,Hardcover Fiction
14,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",26,2023-04-16,FICTION,Hardcover Fiction
0,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",24,2023-04-16,FICTION,Paperback Trade Fiction
1,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,20,2023-04-16,FICTION,Paperback Trade Fiction
2,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,100,2023-04-16,FICTION,Paperback Trade Fiction
3,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,108,2023-04-16,FICTION,Paperback Trade Fiction
4,NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,Questions arise when a pair of lovers try to uncover why they suddenly became strangers.,5,2023-04-16,FICTION,Paperback Trade Fiction
5,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,86,2023-04-16,FICTION,Paperback Trade Fiction
6,UGLY LOVE,Colleen Hoover,Atria,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,88,2023-04-16,FICTION,Paperback Trade Fiction
7,THE LAST THING HE TOLD ME,Laura Dave,Marysue Rucci,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2,2023-04-16,FICTION,Paperback Trade Fiction
8,HEART BONES,Colleen Hoover,Atria,"After an unexpected death prevents her from going to Penn State and and forces her to move in with her absent father, Beyah Grim has a summer fling with the rich guy next door.",9,2023-04-16,FICTION,Paperback Trade Fiction
9,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.,26,2023-04-16,FICTION,Paperback Trade Fiction
10,THE FOUR WINDS,Kristin Hannah,St. Martin's Griffin,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading west.",3,2023-04-16,FICTION,Paperback Trade Fiction
11,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,85,2023-04-16,FICTION,Paperback Trade Fiction
12,THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,The second book in the Knockemout series. A woman with some secrets and the chief of police have different ideas about where things are headed.,6,2023-04-16,FICTION,Paperback Trade Fiction
13,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,7,2023-04-16,FICTION,Paperback Trade Fiction
14,ONE ITALIAN SUMMER,Rebecca Serle,Atria,"During a summer trip in Italy, Katy’s late mother reappears as a 30-year-old woman.",3,2023-04-16,FICTION,Paperback Trade Fiction
0,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,1,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
1,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",136,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
2,"POVERTY, BY AMERICA",Matthew Desmond,Crown,The Pulitzer Prize-winning author of “Evicted” examines the ways in which affluent Americans keep poor people poor.,2,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
3,SPARE,Prince Harry,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",12,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
4,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",54,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
