,FullName,URL
86,Richard Powers,https://www.goodreads.com/book/show/40180098-the-overstory?from_search=true&from_srp=true&qid=sblJyz53qH&rank=1
87,Chanel Cleeton,https://www.goodreads.com/book/show/40265670-when-we-left-cuba?from_search=true&from_srp=true&qid=o199SV7FRm&rank=1
88,Anne Hillerman,https://www.goodreads.com/book/show/40788134-the-tale-teller?from_search=true&from_srp=true&qid=26OlbjP5Bh&rank=1
89,Catherine Steadman,https://www.goodreads.com/book/show/36388243-something-in-the-water?from_search=true&from_srp=true&qid=7ooI5uXznS&rank=1
90,Philip Kerr,https://www.goodreads.com/book/show/22318476-boom-town?from_search=true&from_srp=true&qid=7pZ5zpSOLt&rank=1
91,Nell Freudenberger,https://www.goodreads.com/book/show/40177418-lost-and-wanted?from_search=true&from_srp=true&qid=nNL4GdZVmp&rank=1
92,Karen Kingsbury,https://www.goodreads.com/book/show/40881450-two-weeks-notice?from_search=true&from_srp=true&qid=vKEQc4svHa&rank=1
93,Sally Rooney,https://www.goodreads.com/book/show/41057294-normal-people?from_search=true&from_srp=true&qid=Ut0yLTZLkP&rank=1
94,E L James,https://www.goodreads.com/book/show/43696048-the-mister?from_search=true&from_srp=true&qid=O1BBOgoMdV&rank=1
95,Claudia Gray,https://www.goodreads.com/book/show/40917496-master-and-apprentice?from_search=true&from_srp=true&qid=pIxZKY2chK&rank=1
96,George R.R. Martin,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones?from_search=true&from_srp=true&qid=NzRku2V6eO&rank=1
97,Alexander McCall Smith,https://www.goodreads.com/book/show/40988964-the-department-of-sensitive-crimes?from_search=true&from_srp=true&qid=XCFZsQgD8F&rank=1
98,Bill McKibben,https://www.goodreads.com/book/show/25009382-spill-simmer-falter-wither?from_search=true&from_srp=true&qid=DGpMSWStyJ&rank=1
99,Esi Edugyan,https://www.goodreads.com/book/show/38140077-washington-black?from_search=true&from_srp=true&qid=bc10Pd530i&rank=1
100,John Sandford,https://www.goodreads.com/book/show/40982957-neon-prey?from_search=true&from_srp=true&qid=cdUuPwGIDg&rank=1
101,Ian McEwan,https://www.goodreads.com/book/show/42086795-machines-like-me?from_search=true&from_srp=true&qid=uaXjjYmgMx&rank=1
102,Greg Weisman,https://www.goodreads.com/book/show/41814546-war-of-the-spark?from_search=true&from_srp=true&qid=sSQVE3CUlw&rank=1
103,Tyler Kepner,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird?from_search=true&from_srp=true&qid=7hzcglJ1XQ&rank=1
104,Ruth Ware,https://www.goodreads.com/book/show/36373481-the-death-of-mrs-westaway?from_search=true&from_srp=true&qid=ECz1mg96HA&rank=1
105,Lee Child,https://www.goodreads.com/book/show/34019122-past-tense?from_search=true&from_srp=true&qid=0FLvmZR3SU&rank=1
106,Michael Connelly,https://www.goodreads.com/book/show/38204677-dark-sacred-night?from_search=true&from_srp=true&qid=CPB4PNqR6g&rank=1
107,Emily Giffin,https://www.goodreads.com/book/show/36344555-all-we-ever-wanted?from_search=true&from_srp=true&qid=NMi7sTOmW2&rank=1
108,Brad Thor,https://www.goodreads.com/book/show/37752067-spymaster?from_search=true&from_srp=true&qid=lAhO5YyfND&rank=1
109,Stephanie Laurens,https://www.goodreads.com/book/show/40780010-the-pursuits-of-lord-kit-cavanaugh?from_search=true&from_srp=true&qid=WvrjX5ZNG9&rank=1
110,Nora Roberts,https://www.goodreads.com/book/show/246362.Unfinished_Business?from_search=true&from_srp=true&qid=gPpux1RSdf&rank=1
111,Etaf Rum,https://www.goodreads.com/book/show/34313931-a-woman-is-no-man?from_search=true&from_srp=true&qid=675gSfFNA7&rank=1
112,Allison Brennan,https://www.goodreads.com/book/show/41150550-nothing-to-hide?from_search=true&from_srp=true&qid=te5OTZzoqN&rank=1
113,Maxine Paetro,https://www.goodreads.com/book/show/40010477-the-18th-abduction?from_search=true&from_srp=true&qid=suoL5CbrpT&rank=1
114,Robyn Carr,https://www.goodreads.com/book/show/37585575-the-view-from-alameda-island?from_search=true&from_srp=true&qid=0VRVJMDzvd&rank=1
115,Sarah Blake,https://www.goodreads.com/book/show/41138424-the-guest-book?from_search=true&from_srp=true&qid=dQ3ZYsQhNd&rank=1
116,Janet Evanovich,https://www.goodreads.com/book/show/37559423-the-big-kahuna?from_search=true&from_srp=true&qid=ZPJ7QF1m2K&rank=1
117,Peter Evanovich,https://www.goodreads.com/book/show/37559423-the-big-kahuna?from_search=true&from_srp=true&qid=ZPJ7QF1m2K&rank=1
118,Ted Chiang,https://www.goodreads.com/book/show/41160292-exhalation?from_search=true&from_srp=true&qid=2NEIqTkMG8&rank=1
119,Patricia Briggs,https://www.goodreads.com/book/show/25026912-storm-cursed?from_search=true&from_srp=true&qid=HBp0IkGXmB&rank=1
120,Celeste Ng,https://www.goodreads.com/book/show/34273236-little-fires-everywhere?from_search=true&from_srp=true&qid=9YiMe41SNQ&rank=1
121,Mary Kay Andrews,https://www.goodreads.com/book/show/41150531-sunset-beach?from_search=true&from_srp=true&qid=XEsYq1pgm3&rank=1
122,Tommy Orange,https://www.goodreads.com/book/show/36692478-there-there?from_search=true&from_srp=true&qid=PQkcPWSJu5&rank=1
123,Casey McQuiston,https://www.goodreads.com/book/show/41150487-red-white-royal-blue?from_search=true&from_srp=true&qid=1ueNBRCbSi&rank=1
124,Jeffery Deaver,https://www.goodreads.com/book/show/41960011-the-never-game?from_search=true&from_srp=true&qid=w4vBmOXJB8&rank=1
125,Dean Koontz,https://www.goodreads.com/book/show/41444159-the-night-window?from_search=true&from_srp=true&qid=OVrV86mrNE&rank=1
